GPS,Epoch Time,x,y,z
GPS13,2009-06-30 02:00:00,-2210608.199827534,19782024.89928201,17443543.698034383
GPS13,2009-06-30 04:00:00,-4942738.608534311,20847900.14149852,15548103.736324487
GPS13,2009-06-30 06:00:00,19750114.226078257,7836718.664915052,15779191.975928308
GPS13,2009-06-30 08:00:00,25354694.615075763,-4731991.471472376,6160530.626647995
GPS13,2009-06-30 09:59:44,-630959.7039269665,-21578358.936786592,-15651759.477129713
GPS13,2009-06-30 10:00:00,-22255226.564354926,-7644523.058577088,-12503410.377983944
GPS13,2009-06-30 11:59:44,10537142.465988155,18003085.82192291,16262775.411968358
GPS13,2009-06-30 14:00:00,-16355136.083996568,-11807672.658772849,-17436138.81696168
GPS13,2009-06-30 16:00:00,-21199494.75402503,14965545.246104844,5544425.908774717
GPS13,2009-06-30 18:00:00,-11790987.543591073,-11375801.260084888,-21042432.817168705
GPS13,2009-06-30 20:00:00,13151597.884234821,-16463893.919080682,-16297520.43745766
GPS13,2009-06-30 22:00:00,13241174.89535904,10711600.781143745,20243955.77228071
GPS14,2009-06-30,9451706.799143838,11675168.617319873,22011940.116075367
GPS14,2009-06-30 02:00:00,-1355123.9119670484,17309290.705366246,20255416.453938324
GPS14,2009-06-30 04:00:00,9398983.604584582,-20570377.05334455,-13699746.01529935
GPS14,2009-06-30 06:00:00,-19023901.67744583,17054356.361947466,7638149.990132254
GPS14,2009-06-30 08:00:00,12226859.17481219,17693833.770307932,15712349.96309198
GPS14,2009-06-30 10:00:00,20198756.695825066,-15300344.221333198,-7594786.346911233
GPS14,2009-06-30 12:00:00,5305016.373566095,18655212.512231696,18299564.6816518
GPS14,2009-06-30 13:59:44,10896345.970124006,-19644696.52475513,-13944391.613603411
GPS14,2009-06-30 14:00:00,-16848035.44838995,-11433274.597430672,-16956634.75732362
GPS14,2009-06-30 15:59:44,-21734223.588352717,13690883.691262135,7126388.76195889
GPS14,2009-06-30 18:00:00,21774211.167052772,5295324.924901056,14291614.694229659
GPS14,2009-06-30 20:00:00,24783759.25722488,-8479494.010256842,-3842493.520462693
GPS14,2009-06-30 22:00:00,9686506.13259219,14212800.490703607,20344355.071976036
GPS15,2009-06-30,15658836.828427766,13227230.809964646,16943359.40791393
GPS15,2009-06-30 02:00:00,19466169.57217053,12679921.083153833,12950228.556694504
GPS15,2009-06-30 04:00:00,23773672.713013418,-8026671.895169642,-8775380.51074473
GPS15,2009-06-30 06:00:00,-11885375.898339774,-18045104.395046707,-15392502.576699805
GPS15,2009-06-30 08:00:00,21077534.033756454,13177773.306492476,9462896.48206643
GPS15,2009-06-30 09:59:44,22377762.98405319,12068516.994128117,7815648.14833166
GPS15,2009-06-30 10:00:00,24090006.688991405,9612199.87978196,5896556.500185278
GPS15,2009-06-30 11:59:44,-26402329.747805707,-2498281.540933631,553066.1734108854
GPS15,2009-06-30 14:00:00,-4204506.541946413,-18527863.566001926,-18525197.92019839
GPS15,2009-06-30 16:00:00,-16603469.077231625,13374946.95178255,15829603.58760787
GPS15,2009-06-30 18:00:00,-7815210.085522042,15619079.060180483,20023076.541169424
GPS15,2009-06-30 20:00:00,-23443546.761253413,5677551.000119516,11067659.667321395
GPS15,2009-06-30 22:00:00,-25394875.796244334,-5282072.891653243,-5534755.741678011
GPS16,2009-06-30,5953236.690532991,-11335487.893036406,23345240.774822414
GPS16,2009-06-30 02:00:00,16802747.039449275,18558503.06478964,8530957.913595203
GPS16,2009-06-30 04:00:00,10902581.01829383,22014739.18116645,-9715038.544673342
GPS16,2009-06-30 05:59:44,8163247.437124871,19638802.25932202,-15684366.714132044
GPS16,2009-06-30 06:00:00,11223397.42293928,21236627.464896742,-10999035.937339446
GPS16,2009-06-30 07:59:44,13248284.170366412,-268017.8466343739,23012805.140653346
GPS16,2009-06-30 10:00:00,14975268.49533196,573595.3400673874,21909376.026653733
GPS16,2009-06-30 12:00:00,5112298.92268268,-10922470.634652374,23737964.774614252
GPS16,2009-06-30 14:00:00,-10480630.2006611,4953802.48199424,-23863446.8190669
GPS16,2009-06-30 16:00:00,-6651138.0972882835,12287738.016291222,-22503799.25133024
GPS16,2009-06-30 18:00:00,19062815.929416955,17071918.193541124,6666211.982485717
GPS16,2009-06-30 20:00:00,2695588.178715733,19777109.30869799,-17337015.01020353
GPS16,2009-06-30 22:00:00,-19388184.292160623,-15755040.17191467,-9326508.187653355
GPS17,2009-06-30,-25991685.229299724,4738427.350420595,1475791.3640499464
GPS17,2009-06-30 02:00:00,26286232.962217387,-147930.52720448183,-4359171.025305784
GPS17,2009-06-30 04:00:00,26061898.01961669,-5609587.968930675,710376.4722812771
GPS17,2009-06-30 05:59:44,-924169.4230983316,-17469595.13852134,20075270.13315209
GPS17,2009-06-30 06:00:00,-5120875.764125703,17669846.401482686,-19033636.392407723
GPS17,2009-06-30 07:59:44,20019660.042269226,9674159.756502615,-14581533.51074591
GPS17,2009-06-30 10:00:00,-26162524.380147725,3862145.076350368,781083.1006218474
GPS17,2009-06-30 12:00:00,20726379.878907297,8443578.862423018,-14353117.991205992
GPS17,2009-06-30 14:00:00,-24052441.214378737,10845460.648869999,-1857100.4731945773
GPS17,2009-06-30 16:00:00,25669167.119051594,-1219942.2844259008,-6998554.5811697
GPS17,2009-06-30 18:00:00,-21662782.054907795,-11239128.551257428,10385267.778015833
GPS17,2009-06-30 20:00:00,-18584389.65349044,16148006.35052969,-9645190.17353105
GPS17,2009-06-30 22:00:00,-24789318.60201349,8654198.760835087,-3147744.0051295636
GPS18,2009-06-30,-12439687.322593277,9132906.52064344,21826552.463182606
GPS18,2009-06-30 02:00:00,17908702.049684748,16172400.900867412,-10415546.831488611
GPS18,2009-06-30 04:00:00,18509431.577508125,-7611453.197665533,-17264806.521304574
GPS18,2009-06-30 06:00:00,-20319275.094561633,-2157959.630921195,17291497.477957454
GPS18,2009-06-30 08:00:00,-8934818.546579275,21769155.192864414,12219197.650887743
GPS18,2009-06-30 09:59:44,7699897.999206237,24866503.305729162,4356724.115806518
GPS18,2009-06-30 10:00:00,-18452646.62513477,-796197.2747059492,19425020.68370776
GPS18,2009-06-30 11:59:44,15753533.834784357,6728530.026853181,-19954026.509241503
GPS18,2009-06-30 14:00:00,11291676.89698623,-2219890.0369257284,-23711846.434107397
GPS18,2009-06-30 16:00:00,10444088.90787321,18282123.542497035,-15724246.853993095
GPS18,2009-06-30 18:00:00,-1686611.1423892605,-26445427.633023296,-3544727.2510728976
GPS18,2009-06-30 20:00:00,-9768615.278508326,14525887.861429758,20063724.30362646
GPS18,2009-06-30 22:00:00,-17466366.845225155,-10863121.004572347,17242593.92840545
GPS19,2009-06-30,18377779.649411544,15009495.222156178,-11656300.522891253
GPS19,2009-06-30 01:59:44,-24316635.66313136,10767863.364420282,-2325974.270502575
GPS19,2009-06-30 02:00:00,15360902.923360856,13146287.570504926,-17064403.77508901
GPS19,2009-06-30 03:59:44,-3513445.554664515,-18233486.297943726,19045094.726176042
GPS19,2009-06-30 06:00:00,11537202.954372756,-16664818.99521809,17105527.401640724
GPS19,2009-06-30 08:00:00,24764022.999209788,-8031659.82299878,4574122.093881899
GPS19,2009-06-30 10:00:00,-26062404.59432925,250030.81476961507,5848958.509275864
GPS19,2009-06-30 12:00:00,21636081.40374167,8249972.154038916,-12731335.506538533
GPS19,2009-06-30 14:00:00,21032651.641649704,7359455.7849538075,-14209267.330277367
GPS19,2009-06-30 16:00:00,-12645762.195036909,18573049.643826853,-14266268.30764712
GPS19,2009-06-30 18:00:00,24532397.55129826,2990304.8423483227,-9317098.097074278
GPS19,2009-06-30 20:00:00,-12469351.94867373,21141034.421750948,-10269324.686797045
GPS19,2009-06-30 22:00:00,-25944621.157527916,6259565.91567348,-757083.4273316342
GPS20,2009-06-30,16482313.399940696,-6909524.567275437,-19781820.559535712
GPS20,2009-06-30 01:59:44,-18275084.211945076,-10706823.302407322,15862767.0773628
GPS20,2009-06-30 02:00:00,18862418.31289224,-2542041.7251247233,-18670341.08483025
GPS20,2009-06-30 03:59:44,-16628476.340743085,-14949885.67838984,14163220.900061378
GPS20,2009-06-30 06:00:00,-12679922.376794193,16668995.484567882,16212957.370366644
GPS20,2009-06-30 08:00:00,-3815685.1369156744,23706696.55335178,11257279.385609798
GPS20,2009-06-30 10:00:00,1724212.5737277085,26214333.833856516,3912417.1409635167
GPS20,2009-06-30 12:00:00,-9618126.026943514,-22889597.99526704,9259796.838995771
GPS20,2009-06-30 14:00:00,11871432.990118735,-7429480.050721453,-22679241.593834784
GPS20,2009-06-30 16:00:00,13851208.224523358,9402650.644739114,-20748027.362121064
GPS20,2009-06-30 18:00:00,8831497.333992494,-14214335.243930396,-20727115.084267095
GPS20,2009-06-30 20:00:00,9015922.597336711,24893719.422020752,-2460971.5159678413
GPS20,2009-06-30 22:00:00,-8736271.626271205,-24918261.147674933,-2766664.7423602426
